symbol,name,sector
ABB.NS,ABB India,Industrials
ADANIGREEN.NS,Adani Green Energy,Energy
AMBUJACEM.NS,Ambuja Cements,Materials
ALKEM.NS,Alkem Laboratories,Healthcare
ASTRAL.NS,Astral,Materials
AUBANK.NS,AU Small Finance Bank,Financial Services
BAJAJHLDNG.NS,Bajaj Holdings & Investment,Financial Services
BANDHANBNK.NS,Bandhan Bank,Financial Services
BERGEPAINT.NS,Berger Paints India,Consumer Discretionary
BOSCHLTD.NS,Bosch,Consumer Discretionary
CANBK.NS,Canara Bank,Financial Services
CHOLAFIN.NS,Cholamandalam Investment and Finance,Financial Services
COFORGE.NS,Coforge,Information Technology
COLPAL.NS,Colgate-Palmolive (India),Consumer Staples
DEEPAKNTR.NS,Deepak Nitrite,Materials
DLF.NS,DLF,Real Estate
GAIL.NS,GAIL (India),Energy
GODREJCP.NS,Godrej Consumer Products,Consumer Staples
HAVELLS.NS,Havells India,Industrials
ICICIGI.NS,ICICI Lombard General Insurance,Financial Services
ICICIPRULI.NS,ICICI Prudential Life Insurance,Financial Services
INDUSTOWER.NS,Indus Towers,Telecom
IOC.NS,Indian Oil Corporation,Energy
IRCTC.NS,Indian Railway Catering and Tourism,Industrials
JINDALSTEL.NS,Jindal Steel & Power,Materials
LTTS.NS,L&T Technology Services,Information Technology
LUPIN.NS,Lupin,Healthcare
MANKIND.NS,Mankind Pharma,Healthcare
MARICO.NS,Marico,Consumer Staples
MAXHEALTH.NS,Max Healthcare Institute,Healthcare
MOTHERSON.NS,Samvardhana Motherson International,Automobiles
MUTHOOTFIN.NS,Muthoot Finance,Financial Services
NAUKRI.NS,Info Edge (India),Information Technology
OBEROIRLTY.NS,Oberoi Realty,Real Estate
PERSISTENT.NS,Persistent Systems,Information Technology
PIIND.NS,PI Industries,Materials
PIDILITIND.NS,Pidilite Industries,Materials
PNB.NS,Punjab National Bank,Financial Services
POLYCAB.NS,Polycab India,Industrials
SAIL.NS,Steel Authority of India,Materials
SBICARD.NS,SBI Cards and Payment Services,Financial Services
SIEMENS.NS,Siemens,Industrials
TORNTPHARM.NS,Torrent Pharmaceuticals,Healthcare
TRENT.NS,Trent,Consumer Discretionary
UPL.NS,UPL,Materials
VEDL.NS,Vedanta,Materials
VOLTAS.NS,Voltas,Consumer Discretionary
ZOMATO.NS,Zomato,Consumer Discretionary
ZYDUSLIFE.NS,Zydus Lifesciences,Healthcare
DMART.NS,Avenue Supermarts,Consumer Discretionary
